emne_id;emne_navn;emne_navn_eng;studiepoeng;emne_utbytte;emne_innhold;faculty_code;contains_description
BE-002;Forkurs i bedriftsøkonomi for EMBA-studenter;Forkurs i bedriftsøkonomi for EMBA-studenter;0;['Etter fullført emne skal studenten:', ['ha generelle basiskunnskaper om bedriftsøkonomiske problemstillinger', 'kjenne til og forstå sentrale begreper knyttet til drifts- og finansregnskap samt budsjettering']];['Emnet tilbys som et valgfritt forkurs til studiet Executive Master of Business Administration (EMBA). Studenter som mangler- eller har begrenset kunnskap om bedriftsøkonomiske- og finansielle emner fra sin bachelorgrad og/eller arbeidserfaring anbefales å gjennomføre emnet.', 'Kurset har tre hovedtema:', ['Bedriftens kostnader og inntekter', 'Enkle regnskapsanalyser, nøkkeltall og budsjetter', 'Enkle produkt- og tjenestekalkyler samt investeringskalkyler']];HH;True
BE-111;Innføring i finansregnskap;Introduction to Financial Accounting;7.5;['Etter å ha fullført dette emnet skal studenten:', ['ha kunnskap om finansregnskapets oppbygging, dets norske og internasjonale rammebetingelser, ha grunnleggende kunnskap om formålet med og føringen av et finansregnskap og kunne gjøre rede for regnskapet som informasjonskilde', 'ha kunnskap om regnskapsprinsipper og presentasjon, bokføringsregler, grunnleggende bokføringsprinsipper og god bokføringsskikk, samt standard kontoplan', 'forstå begrepene utgifter, kostnader, utbetalinger, inntekter og innbetalinger, samt beholdninger og vanlige periodiseringsposteringer', 'kunne bokføre de mest vanlige transaksjoner, herunder merverdiavgift', 'kunne forklare sammenhenger mellom transaksjoner og deres påvirkning på resultat og balanse', 'kunne stille opp resultat og balanse i samsvar med regnskapslovens bestemmelser og foreta årsoppgjør samt utarbeide kontantstrømoppstilling', 'kunne utarbeide budsjett for likviditet, resultat og balanse', 'ha kjennskap til digitale regnskapssystemer']];['Emnet gir en grunnleggende innføring i finansregnskapets formål og innhold. Det gis en introduksjon til bokføring og god regnskapsskikk. Det vektlegges samtidig å tydeliggjøre de juridiske, etiske og økonomiske rammene for utøvelsen av regnskapsfaglige skjønn. Utarbeidelse av budsjetter i den løpende økonomiske oppfølging er også en integrert del av emnet, samt kjennskap til dagens miljøkravs betydning for relevant rapportering.', ''];HH;True
BE-209;Finansregnskap og rapportering;Financial Accounting and reporting;7.5;['Etter å ha fullført dette emnet skal studenten:', ['ha kunnskap om regler og direktiver knyttet til bærekraftsrapportering', 'kunne foreta analyse av bedrifters lønnsomhet, likviditet og soliditet', 'kjenne til hovedprinsippene i den norske regnskapsloven, internasjonale regnskapsregler og sentrale regnskapsstandarder', 'kunne anvende viktige innregnings- og måleprinsipper på konkrete problemstillinger', 'kunne utarbeide et årsregnskap og ha grunnleggende kjennskap til hvordan FNs bærekraftsmål kan påvirke virksomheters vurderinger av forsvarlig drift og rapportering av finansiell informasjon', 'kunne utarbeide et enkelt konsernregnskap uten skatt og ikke-kontrollerende eierinteresser', 'kjenne til regelverket for noter og årsberetning', 'ha kjennskap til digitale rapporteringsverktøy']];['Emnet gir en god innsikt i finansregnskapets formål og innhold. Finansregnskapets rolle i de nasjonale og internasjonale kapitalmarkedene er også gjenstand for diskusjon i emnet. Likeledes problematiseres anvendelse av ulike regnskapsmessige vurderingsregler i forhold til formålet med regnskap, og studentene utfordres samtidig til å reflektere over etiske problemstillinger knyttet til regnskapsutarbeidelsen. I arbeidet med analyse av regnskapsinformasjon anvendes Excel gjennomgående.'];HH;True
BE-316;Valuation;Valuation;7.5;[];[];HH;False
BE-318;Management Accounting for Decision Makers;Management Accounting for Decision Makers;7.5;[];[];HH;False
BE-320;Rapportering av ESG-informasjon;ESG Metrics;7.5;['Etter fullført emne skal studenten ha:', ['Forståelse for betydningen av internasjonale trender som påvirker virksomheters rapportering av ikke-finansiell informasjon', 'God kunnskap om hvordan bærekraftsmål kan påvirke virksomheters vurderinger av forsvarlig drift og rapportering av finansiell informasjon', 'Forståelse for hvordan ikke-finansielle indikatorer kan påvirke investorers verdsettelse av virksomheter', 'Kompetanse i å formidle ESG-informasjon til ulike interessentgrupper', 'Kjennskap til hvordan ESG – informasjon kan anvendes i ulike risikovurderingssituasjoner']];['Emnet omfatter utarbeidelse, forståelse og presentasjon av ikke-finansiell informasjon til ulike interessenter, i en finansiell kontekst. Oppmerksomheten er rettet mot aktuelle utfordringer og - muligheter som følger av økende oppmerksomhet knyttet til klimautfordringer og bærekraft, herunder ikke-finansielle indikatorer og den tredelte bunnlinjen.', ''];HH;True
BE-409;Real Estate Economics;Real Estate Economics;7.5;[];[];HH;False
BE-410;Corporate Finance;Corporate Finance;7.5;[];[];HH;False
BE-417;Management Control Systems;Management Control Systems;7.5;[];[];HH;False
BE-421;Investments;Investments;7.5;[];[];HH;False
BE-422;ESG Metrics: Reshaping Finance;ESG Metrics: Reshaping Finance;7.5;[];[];HH;False
BE-501;Masteroppgave i økonomi og administrasjon;Master's Thesis in Business Administration;30;['Etter å ha fullført masteroppgaven skal studenten:', ['ha spesialisert kunnskap innenfor fagområdet for masteroppgaven', 'kunne vurdere og anvende forskning utført av andre.', 'kunne anvende relevant teori og metode i studiet av en faglig problemstilling, og arbeide selvstendig med data, analyse og problemløsning basert på dette.', 'være i stand til å gjennomføre et vitenskapelig arbeid', 'være i stand til å presentere et større arbeid i en utforming som er i overensstemmelse med vanlig akademisk standard og gjeldende forskningsetiske normer.']];['I sitt siste semester skriver studentene en masteroppgave på 30 studiepoeng. Oppgaven skrives fortrinnsvis innenfor den spesialiseringen som er valgt i studiet. Tema for oppgaven kan være formulert av studenten selv, av forslagstillere i næringslivet eller av ansatte ved Handelshøyskolen. Studenten må imidlertid selv ha formulert den endelige problemstillingen i samråd med veileder. Det legges vekt på en eksplisitt kobling av teori og metode, og oppgaven skal omfatte en analytisk tilnærming og ofte en empirisk undersøkelse av aspekter ved problemstillingen. Studenten skal forholde seg til retningslinjer for god forskning og rapportskriving. Det er utarbeidet egne retningslinjer for masteroppgaven. Disse er tilgjengelige på Handelshøykolens læringsplattform (Canvas).'];HH;True
BE-508;Masteroppgave i regnskap og revisjon;Master's Thesis in Accounting and Auditing;30;['Etter å ha fullført masteroppgaven skal studenten:', ['ha spesialisert kunnskap innenfor fagområdet for masteroppgaven', 'kunne vurdere og anvende forskning utført av andre.', 'kunne anvende relevant teori og metode i studiet av en faglig problemstilling, og arbeide selvstendig med data, analyse og problemløsning basert på dette.', 'være i stand til å gjennomføre et vitenskapelig arbeid', 'være i stand til å presentere et større arbeid i en utforming som er i overensstemmelse med vanlig akademisk standard og gjeldende forskningsetiske normer.']];['I sitt siste semester skriver studentene en masteroppgave på 30 studiepoeng. Oppgaven skrives fortrinnsvis innenfor valgt spesialisering i programmet. Tema for oppgaven kan være formulert av studenten selv, av forslagstillere i næringslivet eller av ansatte ved Handelshøyskolen. Studenten må imidlertid selv ha formulert den endelige problemstillingen i samråd med oppnevnt veileder. Det legges vekt på en eksplisitt kopling av relevant teori og metode, og oppgaven skal omfatte en analytisk tilnærming og ofte en empirisk undersøkelse av aspekter ved problemstillingen. Studenten skal forholde seg til retningslinjer for god forskning og rapportskriving. Det er utarbeidet egne retningslinjer for masteroppgaven. Disse er tilgjengelige på Handelshøyskolens læringsplattform Canvas.'];HH;True
BE-509;Masteroppgave i International Business;Master’s Thesis in International Business;30;['Etter å ha fullført masteroppgaven skal studenten:', ['ha spesialisert kunnskap innenfor fagområdet for masteroppgaven', 'kunne vurdere og anvende forskning utført av andre', 'kunne anvende relevant teori og metode i studiet av en faglig problemstilling, og arbeide selvstendig med data, analyse og problemløsning basert på dette', 'kunne gjennomføre et vitenskapelig arbeid', 'kunne presentere et større arbeid i en utforming som er i overensstemmelse med vanlig akademisk standard og gjeldende forskningsetiske normer']];['I sitt siste semester skriver studentene en masteroppgave på 30 studiepoeng. Tema for oppgaven kan være formulert av studenten selv, av forslagstillere i næringslivet eller av ansatte ved Handelshøyskolen. Studenten må imidlertid selv ha formulert den endelige problemstillingen i samråd med veileder. Det legges vekt på en eksplisitt kobling av teori og metode, og oppgaven skal omfatte en analytisk tilnærming og ofte en empirisk undersøkelse av aspekter ved problemstillingen. Studenten skal forholde seg til retningslinjer for god forskning og rapportskriving. Det er utarbeidet egne retningslinjer for masteroppgaven. Disse er tilgjengelige på UiAs læringsplattform (Canvas).'];HH;True
BE-513;Practical Portfolio Management ;Practical Portfolio Management ;7.5;[];[];HH;False
BE-514;Master's Thesis in Sustainability Management ;Master's Thesis in Sustainability Management ;30;[];[];HH;False
BE-515;Accounting Research and Practice;Accounting Research and Practice;7.5;[];[];HH;False
BE-516;International Financial Reporting;International Financial Reporting;7.5;[];[];HH;False
BE-517;ESG Disclosure and Financial Markets;ESG Disclosure and Financial Markets;7.5;[];[];HH;False
BE-905;Økonomisk styring i beslutningsprosesser;Financial management in decision-making;10;['Etter fullført emne skal studenten', '- ha innsikt i og kunne anvende bedriftsøkonomiske teorier', '- kunne anvende praktiske verktøy som bidrar til bedre beslutningstaking', '- kunne foreta økonomiske beregninger som danner grunnlag for å ta beslutninger', '- kunne gjennomføre kritiske og etiske vurdering knyttet til økonomisk beslutninger'];['- Grunnleggende økonomiske begreper og sammenhenger'];HH;True
